savjetodavno tijelo	advisory body
granje	bumps
rajZlec	fry
antipodni	antipodal
nelinearne diferencijalne jednadžbe	nonlinear differential equations
devizna transakcija	exchange transaction
ekvadorski	ecuadorian
intravenska primjena	intravenous
vektorska algebra	vector algebra
straZariti	watch over
razmjena podataka	data exchange
izlaz osovine vijka	stern tube
descriptive sampling	descriptive samping
provjera izvjeSGa o ovjeri izvora	report origin authentication check
tjelesne mjere	body measurements
intimno	intimately
popreCni filtar	transversal filter
preporuCeni dnevni unos	recommended daily allowance
krivuljast	curvilinear
Zupanija krapinsko-zagorska	county of krapina-zagorje
utoliko	insofar
tako Carobna	so magic
biciklista	bicyclist
stalni izbrani sud	permanent court of arbitration
ponaSati	behave
rikSa	rickshaw
odnosni	the concerned
odnosno	with respect to
europsko radniCko vijeGe	european works council
bjelovrata Sarena muharica	collared flycatcher
sredstvo za topljenje	liquefaction
sposobnost zamiSljanja	imagination
gakati	quack
visoko obrazovanje	higher education
vremenski odsjeCak kanala	channel timeslot
radeGi	working on
pokrenuti	started
struja u amperima	amperage
pokrenuta	started
mreZa za emitiranje paketa	packet broadcasting network
kalcijev	calcium
strateSka procjena okoliSa	strategic environmental assessment
toplovaljane cijevi	hot-rolled tubes
asimptotska rjeSenja	asymptotic solutions
amalgam	amalgam
kalibracijski alat	sizer
utvrDenih naselja	fortifications
odbor za gospodarstvo i financije	committee for the economy and finances
kilobajt	kilobyte
miljarda	milliard
kameni zid	stone wall
biti pristran	side
graduacija	smoothness
odspajanje	disconnecting
izblijediti	fade
svjetsko	world's
glukokonjugati leu-enkefalina	leu-enkephalin glucoconjugates
lonac	pot
rutinozid	rutinoside
oznaCiti krug	circumscribe
planinski drozd	ring ouzel
kapetan fregate	commander
gumb alatne trake	toolbar button
koji se peCe	roasting
tinejdžerka	teen
broj znakova u znakovnom nizu	string length
binarna naredba	binary instruction
izborni program	election programme
zbrajanje brojeva	adding numbers
uCahurenje podataka	encapsulation
neslaganje	variance
nedvosmislen	unequivocal
neslaganja	discrepancies
plaGeni dopust	paid vacation
upravo toliko	exactly
infozabava	infrotainment
klasiCna harmonika	accordion
softver koji djeluje u dogovoru s drugim	intelligent agent
postupati	treat
europom	europe
europol	europol
industrijsko postrojenje	industrial plant
osnivanje broda	ship design
ukinuti mjeru (mjere)	to abolish measure(s)
telemetriCki	telemetric
jednomodno vlakno	single mode fiber
potraga	pursuit
antena osnovne postaje	base station antenna
istupanje iz stranke	cave
mesing	brass
adresni brojaC	address counter
gatalinka	tree-frog
svanjivati	dawn
doktor opGe prakse	general practitioner
elektropotencijal	electropotential
sinusov pouCak	law of sines
veslaC	rower
ubrzanje pristupu disku	cashe
aristokracija duha	aristocracy of spirit
inGun	anchovy
pravo visokog obrazovanja	right to higher education
razdaljina	distance
uvjetni otpust	release on licence
prijelazno razdoblje ez-a	ec transitional period
prepustiti	turn over
trgovinski promet	trading operation
gorivni element	butron
bezubost	toothlessness
zadimljen	smoky
uloZak za brtvljenje	stuffing
proboscidi	proboscids
platiti kaznu	pay a fine
moZdani uruSaj	cerebral shock
koSarica za kruh	bread-basket
radnje miSem	mouse action
stroncij	strontium
amplitudna rezolucija	amplitude resolution
precrtavanje	tracing
metalno staklo	mettalic glass
teretni stup	derrick post
pikosekundna elektronika	pico-second electronics
oscilirati	oscillate
opseg cjevanice	cannon bone circumference
polijevati	besprinkle
logistika i menadžment u pomorstvu i prometu	logistics and management in maritime industry and
putovanja	tours
hidrografski brod	hydrographic ship
putovanje	wayfaring
nespreman za prijam	receive not ready
izrada radnih podruCja	making directories
fandango	fandango
istupiti	speak
upis teksta	insert mode
procjena arima modelom	arima model estimation
rubela	rubella
dolomitno vapno	dolomitic lime
kompenzacijski rast	compensatory growth
keZenje zuba	grin
pridavati vaZnost	to attach importance
odrediti radno podruCje	get directory
kipovi	sculptures
rastavljenost	disconnection
fototranzistor	fototransistor
poljoprivredna radna snaga	agricultural labour force
zahtjev za odspajanjem veze tpdu	disconnect request tpdu
povezan	relative
stranost	strangeness
moGi primiti	seat
navodnici	quotes
mjesto snimanja	set
staviti peCat	signet
konzervacijski plan	conservation plan
uklanja	eliminating
neimenovano	untitled
prekopCati	switch over
neimenovani	anonymous
po padu	down structure
na kvar tolerantan sustav voDenja	fault tolerant guidance
kuGica na kotaCima	caravan
staZista	probationer
puna visina	full height
izvoriSta	sources
ratno pismo	war writing
prevedu	translate
izvoriSte	water source
otpiraC	skeleton key
nadrilijek	nostrum
kratak izvjeStaj	bulletin
povrijediti	wound
kratak interval	span
jedinica korisnikove informacije protokola	service data unit
dati	to make out
protuvrijednost	quid pro quo
rezerviran	reserved
pijanCevati	drink
pravo europske zajednice	law of the european community
sanke	sled
raCunalo-domaGin	host
neobvezatno	optional
plakar	cupboard
konstitucioni	constitutional
plakat	stickler
agrarna reforma	agrarian reform
dopaminergiCni sustav	dopaminergic system
Zupnik	vicar
honorar po odbitku poreza	after-tax fee
samostalna oprema	of line equipment
zasluZeni	deserved
paramorfizmi sustava za kretanja	paramorphisms of the motion system
blister-bakar	blister-copper
staniCne linije	cell lines
koji se ne moZe procijeniti	imponderable
joS koji	another one
broj cdma kanala kojim se identificira srediSnja d	cdma channel number
nacionalni i internacionalni frazemi	national and international expressions
graDevna dozvola	building permit
biti posluSan	obey
ograniCenja	restrictions
junak	hero
pravni akt zajednice	community act
usluga na zahtjev korisnika	demand service
diferencijska jednadžba	difference equations
brod s poveGanim nadvoDem	ship with increased freeboard
poprijeko	traverse
kuzu	kuzu
juZna koreja	south korea
zrcalna frekvencija	image frequency
zagaDivalo voda	water pollutant
tropska groznica	dengue
koncertu	concert
regionalna razina	regional level
stabilnost i postojanost stijena	stability and durability
porast priguSenja na viSim frekvencijama	rolloff
okiGen	ornate
podruCje pouzdanosti	confidence interval
djelomiCna uporaba meDuspremnika	partial buffer sharing
semikontinuirani postupci	semicontinuous process
posredni program	agent program
bezosjeGajan	without feeling
rikula	arugula
realiziranih	created
koncerti	concerts
diferencijalna psihologija	differential psychology
hrvatski knjiZevni jezik	the croatian standard language
pomamiti se	lust after
zabadalo	busybody
poZeSka kotlina	poZega basin
odreDeniji	specificant
livreja	livery
spondilitis	spondylitis
koliCinska oznaka	measure
u limenci	bottled
sinovski	filial
nekretnine	real property
nekretnina	real property
u tom razdoblju	during this period
groningen	groningen
doprinosi	contributions
slanina i jaja	bacon and eggs
na ovo	thereto
plati pa gledaj (usluga)	pay per view
revers	reverse
uzeti u razmatranje	take into consideration
interakcija fluid-tlo-konstrukcija	interaction water-soil-construction
farmakokinetika	pharmacokinetics
potkoZni	sudermal
itd.	etc.
provjeri sricanje	check spelling
kamila	dromedary
utorak	tuesdays
potkoZna	subdermal
absorbirana doza	absorbed dose
unimodularan	unimodular
drolja	whore
izlaganje na izloZbi	demonstration at an exhibition
atmosferska destilacija	atmospheric distillation
na drugoj strani	over
Sirina broda	breadth
vojno zrakoplovstvo	air-force
hotelski management	hotel management
naslijeDena osobina	reversion
sustavi za obradu poruka temeljeni na raCunalu	computer-based message systems
bavarska	bavaria
nasmijeSiti se	smile
omiljeni	favourites
alkilacija	alkylation
imati sredstava	afford
vedro prkositi neuspjehu	to come up smiling
noGna provala	burglary
prethodno dodijeljena vrijednost zaglavlja stanice	pre assigned cell header value
poviSen	increased
Cuvenost	notoriety
superoksid-dismutaza	superoxide-dismutase
veliki javni radovi	large-scale construction
dobiti zrnastu povrSinu	granulate
podmirenje	settlement
robovanje	slavery
nemaskirajuGi prekid (koji sustavne moZe sprijeCit	nonmaskable interrupt
pojedinaCna vjeStina	individual skill
preventivan	preventive
krmeZljiv	rheumy-eyed
marljiva osoba	industrious person
prirodna nepogoda	natural disaster
realan broj	real number
jednogodac	yearling
graDanski poloZaj	civil status
srednja kvadratna pogreSka	mean square error
vijenac planine	chain
skalarni potencijal	scalar potential
iduGi	posterior
deponent	depositor
stalni virtualni kanal	permanent virtual circuit
rastopina	resolution
socijalni mir	social peace
mamica	mummy
visoka ocjena	appreciation
glava Stita	chief
ostavljati dojam	give impression
tlaCna linija	pressure line
katastarska Cestica	cadastral plot
koncertni	concert
jednosmjerna funkcija	one-way function
puno vedro	pailful
ostruZica	dewberry
evidencija pogreSaka i poremeGaja	evidences of errors and disturbances
Sesterokraku	six-pointed
izvanbrodski motor	outboard motor
rendgen ureDaj	x-ray machine
kroniCne bolesti	chronic diseases
nova vrsta	new species
distributivan	distributive
metarski valovi	metric waves
potreban je	requires
masturbirati	masturbate
nedopuSteni dokaz	inadmissible evidence
jednoliCnost	uniformity
pribliZi	zoom in
politiCko zastupanje	political representation
CineGi	making
programa)	backup
kampanija	campania
aktivno	actively
rjeCniCka graDa	dictionary material
poduzeGe s jednim vlasnikom	sole proprietorship
terenska ispitivanja	field test
tuneli i zasjeci	tunnels and cuts
vrsta bakalara	haddock
Sminker	snappy dresser
niz poslova koje obavlja raCunalo	job stream
nuklearne elektrane	nuclear power-plants
armiraC	steel-bender
prGasta nosa	pug nosed
prositi	beg
Skare-udaraC koji se primjenjuju kod hvatanja	jars
njemaCki vojnik	hun
impertinentan	impertinent
tekst onemoguGenog	disabled text
upravljaC na biciklu	handlebar
sinkronizacijski prasak (tv)	burst
pokrajnja ulica	side street
Sum sustava	system noise
nadzor radnih postupaka	supervision of working procedures
suprijenosnik	sinporter
bubreZni loj	suet
slovno-brojCani	alphanumeric
brisanje nula	zero suppression
pojedinaCna vrijednost prijenosa	individual transfer value
zapaliti se	light
narav	temper
spremniCko adresiranje	register addressing
ogorCeno	bitterly
elektriCni Sum	electric noise
permanentna bilanca	permanent balance sheet
dodijeliti ekran	assign crt
ureDivanje palete	edit palette
buSena vrpca	punched tape
naprava za mjerenje dubine	sounding-line
kratak knjiZevni sastav	essay
koder-dekoder (zdruZeni u istom ureDaju)	codec
Saljivac	wag
ropkinja	bondwoman
roj pCela	bee-swarm
izravna staza	direct path
glavni direktor	general manager
amazonit	amazonite
pregovaraC	negotiator
dogaDajima	events
naseljuju	settling in
glaCati	smooth
oCekivana maksimalna Steta	expected maximum loss
vezni ureDaj	linking device
dvojeziCna leksikografija	bilingual lexicography
politiCki stavovi	political attitudes
morski papagaj	puffin
gorski zviZdak	bonelli's warbler
kodna grupa	word
dodavanje donjim podlaktiCnim odbijanjem	underhand pass
vandali	vandals
mjeriti Stopericom	clock
takt	time
berkelij	berkelium
teretovnica	encumbrance sheet
CudoviSni	monstruos
gdje je to bitno	when relevant
izbor svjeZih sezonskih salata	selection of fresh season salads
podrazumijevanog	implied
ponoviti posljednje pronalaZenje	repeat last find
proizvod na koji se primjenjuje koncesija	product subject to a concessions
crta slobodnog bacanja	free throw line
faktor angaZirane snage	capacity factor
tako	yea
povrSinska voda	surface waters
odskoCni	rebound
sigurnosna kopija	backup copy
ponovno kreiranje signalnog niza iz saZetih (kompr	up - sampling
zapaZen	noticed
audiovizualna koprodukcija	audiovisual co-production
mali verzal	small caps
negativni stafilokoki	negative staphylococci
obiteljski procesi	failz processes
pranje tankova sirovom naftom	crude oil washing tanks
projektor	spotlight
rezolucija pisaCa	printer resolution
duZinsko-teZinski odnos	length-weight relationship
jamCiti	warrant
oduSevljava	encouraging
usisivaC praSine	vacuum cleaner
popreCno optereGenje	axial load
nepromiSljen	unthinking
kancerogena tvar	carcinogenic substance
standardni kripto sustav	conventional cryptosystem
elektrostatiCko praZnjenje	electrostatic discharge
otplatiti dug	amortize
fonoloSka razina	phonological level
Cini se	seems
muljav	slimy
gore naveden	referred to above
napredna mreZa ravnopravnih Clanova	advanced peer to peer network
trusnik	sporangium
Cvornato	nodally
smeZuran	wizened
radno odijelo	smock
bregasto vratilo	cam shaft
funkcionalno stilska diferencijacija	functional stylistic differentiation
okoliSati	quibble
neiskuSan	untried
topniStvo	gunnery
toplina	warmth
opGi lanCani kod	general chain code
epidemioloSka studija	epidemiological study
vrijeme klimatizacije	time of climatization
uzajamnost	reciprocity
obasuti	swamp
nadomjesna snaga Suma	equivalent noise power
sijevanje	twinkle
uvod i pregled u evropi	introduction and the reviem in europe
analogija izmeDu prostora i vremena	analogy between space and time
obratiti se	vert
premoSGenje	bridging
selektivno prihvaGanje poziva	selective call acceptance
rekreativan	recreation
dekadent	decadent
poduzeGe najviSeg stupnja financijske stabilnosti	blue chip company
robe	goods
kut rotacije	rotation angle
konzistencija politiCkih stavova	social integration
roba	ware
mjerljiv na skali	scalable
regionalni projekt u turizmu	regional tourist project
raspraSenje	sputtering
olujni galeb	mew gull
tanka podruCja	thin domains
kim pravi	kim pravi
prekrSiti rijeC	break
goriti	burn on
glasovanje preko opunomoGenika	proxy vote
svakojako	anyhow
mali galeb	little gull
vladarski	imperial
veliCina prozora	window size
SesnGstiCni	hexadecimal
krajnja stanica	terminus
upravljanje aktivom	asset management
vrsta signalizacije pridruZene govornom signalu	speech digit signaling
laguna	lagune
vuci	to haul up
politiCki status	political status
pokleknuti	give up
dalmatski	dalmatic
forenziCka patologija	forensic pathology
napisati ime ili se potpisati u obliku grafita	tag
spolno prenosive infekcije	sexually transmitted infection
svakdanji	daily
davanje signala (znakova)	signaling
korisniCki ureDaj raCunala	computer terminal
udobno	snugly
kanalima	channels
udobni	comfortable
kaSnjenje govornog signala	voice delay
antioksidativna svojstva	antioxidative properties
insulin-neovisni oblik SeGerne bolesti	non-insulin-dependent diabetes mellitus (niddm)
statva brodskog vijka	propeller post
disintermedijacija	disintermediation
Cvrsto tlo	footing
adamantanoidni ditioketali	adamantanoid dithioketals
mala droplja	little bustard
ujednaCavanje	standardization
autonomija stranaka	party autonomy
javna mreZa s biranjem	public dial-up network
geoloSka istraZivanja	geological exploration
straZnja strana	rear
europski sveuCiliSni standardi	european university standards
terapijski odgovor	therapeutic response
posluZavnik	tray
pletizmografija	plethysmography
biti vaZan	matter
razmak izmeDu redaka	line space
odreDivanje vrijednosti	valuation
naboran	wrinkly
industrijski	industry's
podsloj konvergencije (u atm prilagodnom sloju za	convergence sublayer
lokalac	townie
besciljno	drift
vozaCi koji voze sredinom ceste	road hogs
potiskivaC Suma	noise suppressor
vesikula	vesicle
intramolekularne interakcije	intramolecular interactions
prestajati	stop
inteligentni prometni sustav	intelligent transport system
lokalan	localized
kao Sto je	such as
od korisnika do korisnika	user-to-user
poput gipsa	plastery
izvedbu	realized
urbanistiCko planiranje	urban planning
uzduZna ravnoteZa	longitudinal balance
inteligentni sustavi	intelligent systems
znak aktivnog posla	prompt
glazba za ljubav	music for love
jalov rad	dead work
protuSpijunaZa	counter espionage
depilirati	remove hair
izvedba	performance
kuGno raCunalstvo	home computing
trag Zivotinje	foil
izvedbe	realization
egzibicija	exibition
prepoznavanje granica stanica	cell delineation
izvedbi	construction process
automatski upravljan	unmanned
brojaC sati rada	clock counter
superheterodinski radio	superheterodyne
odnosna stranka	the party concerned
skladiSte cijevi	pipe rack
rashodi	expenditure
podatkovni korisniCki dio	data user part
nepouzdan duZnik	defaulting debtor
infrastrukturnih	infrastructure
buldoZer	bulldozer
snellov zakon (loma svjetlosti)	snelps law
francuski jezik	french language
utjecajna grupa	stakeholders
ustaniCki	revolting
suSiti zrakom	air dry
dijagnostiCko ocjenjivanje	diagnostic assessment
bilo kakvu	any
poStanski konj	poster
prut	wand
otupjelost od piGa	sottishness
anksioznost	anxiety
mikrostruktura	microstructure
apsorpcija infracrvenih valnih duljina silicijem	infrared silica absorption
anti	anti
mikrostrukture	microstructures
bilanca	bottom line
prud	dune
magnetoterapija	magnetotherapy
gotiCko-reesansni stil	ghotic-renaissance styl
turizam	tourism
klatiti se	wave
dokirati	dock
analitiCki model	analytical model
suCelje za programiranje telefonskih aplikacija	telephone application programming interface
sastavni dijelovi stroja	components of a machine
domaGi turizam	domestic tourism
aragonit	aragonite
ishlapljujuGi	evaporating
saZeZen	adust
reemitirati	rebroadcast
hijerarhijsko kodiranje	hierarchical coding
ulazna naprava	input device
dobar domaGin	saver
neizraziti skupovi	fuzzy sets
nk-aktivnost	nk-activity
krivono	bandy legged
rimska vojska	roman army
naredba promjene radnog imenika	change working directory
korespodencija	correspondence
migracije	migrations
putovati avionom	travel by plane
osnivati se	be based on
migracija	migratory
alteracija	alteration
goruSica	mustard
alteracije	alteration
podatkovna razina	data link layer
trajektorije naprezanja	stress trajectories
koCiona tekuGina	brake fluid
beskontaktni	touchless
obostrana osobna pogreSka	double foul
cijev s putujuGim valom s injektiranim elektronima	injection travelling wave tube
monoacilgliceroli	monoacylglycerols
visoka poslovna Skola s pravom javnosti	business administration school
periferna lezija Zivca	peripheral nerve injury
optiCko vlakno	optical fibre
apostolat	apostolate
cjepidlaCenje	subtlety
mreZa za daleke svemirske komunikacije	deep space network
obnova spomenika	restoration
samooptimiziranje	self-optimized
neka	let
subduralni hematom	subdural hematoma
nedopuStena	illicit
niSan	target
prosjediti	sit out
brom	bromo
protokol x.419 koji opisuje razmjenu poruka izmeDu	p1 protocol
najavljivanje	announcement
socijalna duhovnost	social spirituality
specifiCni imunitet	specific immunity
osnovni korisniCki pristup u isdn mreZi	integrated services digital network basic rate acc
broj	size
nesretan sluCaj	mishap
optereGenje pri dnu	base-loaded
njega	nursing care
Cokot	vine
naranCada	orangeade
otpornosti	resistance
izuzeto podruCje	excluded sector
pokrivaC krovova	slater
voditi priCuvu	maintain reserve
veza viSespojnih kanala	multipoint to multipoint connection
veza za upravljanje raCunalom	host control link
zadanog	prescribed
broS	plaque
povratni poziv	enquiry call
zgaZen	scrunchie
transportni protokol osi klase 4 (kao nadogradnja	tp4
dinamiCki sistemi	dynamical systems
pojaCalo televizijskih signala	television repeater
bruto investicijska vrijednost	gross investment
broG	madder
korijen dlana	heel of the hand
gomoljasti dio pramca	bulb
drmati	shook
prahovnjak	siltstone
vijCana matica	nut
nikada viSe	nevermore
koji ostavlja jak dojam	impressive
dvije stranice	two pages
standard beZiCnih pokretnih sustava druge generaci	high - speed circuit - switched data
praviti mreZu	net
nepokajniCki	unrepentant
zaStita prepoznatljivosti domaGeg proizvoda	trade mark protection for domestic product
opCinjavanje	fascinating
izmjera	admeasurement
staklast	vitreous
imisije	immisions
sferna trigonometrija	spherical trigonometry
glazba	song
tehnicko tehnloSka rjeSenja	technical-technological solutions
kontrola cijena	price control
uokvireno okno	pane
genij	giant
tilacin, tasmanijski tigar	thylacine, tasmanian tiger
reformatirati	reformat
ogoljavanje adrese	address stripping
poigravati	trip
hibridni modeli	hybrid models
oCuvala	maintained
brod sa dva propelera	vessel, twin screw
velika Gelija	macrocell
adhezijski postupak	adhesional proceedings
inicijalizator	initializer
motor s unutarnjim izgaranjem	internal combustion engines
odrZiv	viable
ploCa s prespojnim toCkama	patch board
ukrajinac	ukrainian
bravetina	mutton
ogorCenje	exasperation
segmentni	segmental
promjena sredstva	media conversion
uvlaCenje podataka u radnom listu	indenting worksheet data
razvojna politika	development policy
emisija paketa u svim smjerovima	all-routes broadcast
raspodijeljena baza podataka	distributed database
tijelo za rjeSavanje sporova	dispute settlement body
ventilator ograniCenja buke	limiting noise fan
pohaDati	haunt
predstavljali	represented
opijelo	requiem
onda	though
hrvatske carinske koncesije za poljoprivredne proi	croatian tariff concession for agricultural produc
rastenje	upgrowth
europska banka za obnovu i razvoj	european bank for reconstruction and development
hibridizam	hybridism
koji se moZe stegnuti	shrinkable
kuGna industrija	house industry
sekvencijski	sequential
sigurnosna provjera pristupa	access security control
goniti divljaC	badger
redefiniranje banaka	redefining of banks
litterG iunctG	litterG iunctG
nerazdraZen	unprovoked
romansa	romance
cio zavaren	all-welded
signaliziranje na daljinu	telesignalization
strug sa Siljcima	center lathe
podrugljiva primjedba	shy
metalna gaza	wire gauze
antilopa	eland
Zivotinjski vosak	animal-wax
antilope	antelope
devedesete	nineties
dijagnosticiranje	diagnoses
zubna pulpa	dental pulp
predsjednik opGine	mayor
kubelka munk teorija	kubelka munk theory
surogat testiranje	surrogate testing
devedeseti	ninetieth
deblo	trunk
vuCna sluZba	dragging service
ribnjak	tank
grabeZ	rapine
pun oCekivanja	expectant
preduvjet	prerequisite
antifeding	antifading
tuDi kapital	loan capital
eksproprirati	expropriate
policijski	constabulary
u inozemstvo	abroad
informirati se	inquire
kabla	cable
kontrabas	upright bass
mjesto roDenja	birthplace
decimetar	decimetre
tava	skillet
betatopik	betatopic
nacionalne kulture	national cultures
osvojiti medalju	win a medal
natiskan	alive
prokariot	prokaryote
genetski markeri	genetic markers
postaviti teZiSte	bias
raCunar u radu	active computer
ubaciti se	infiltrate
vrisnuti	shriek
laboratorijska i in situ ispitivanja	laboratory and in situ test
podvoriti	do
gornji leZaj	head bearing
krnjatak	stump
uvlaCenje	tractor
sarkazam	sarcasm
nespesifiCna imunost	innate immunity
prilagoDavanje korisniku	customization
broj redova tabele	number of rows
djelotvornosti	efficiency
nestaSno dijete	romp
dokapitalizirati	capitalise
Cedomorstvo	neonaticide
orahovo ulje	walnut oil
niskog rasta	roly poly
moZdani udar	stroke
krokodil Stipaljka	alligator clip
razlaganje	scansion
videoserver	video server
uprava za opGu meteorologiju	department for general meteorology
zasnivati se	repose
preraspodjela prihoda	redistribution of income
amiloidoza	amyloidosis
neurotrofiCki faktor	nerve growth factor
punjenje korisniCkog diska programom ili podatcima	downloading
elektriDka mjerenja	electrical measurements
letvica	batten
a-kljuC	a-key
vojvodstvo	duchy
surjekcija	surjective function
rastezni	extension type
moluCki otoci	moluccas
troSkovi odrZavanja	maintenance costs
socijalno ispitivanje	social audit
nepravovremen	undue
spremnik s linijom za kaSnjenje	delay-line register
oneCiSGenost	pollution
mjesec dana	month
digitalni Gelijski pokretni radijski sustav	digital cellular mobile radio system
obrada signala na platformi (satelita)	on board processing
strmih	steep
antibiotiCka profilaksa	antibiotic profilaxis
sustav za provjeru znanja	testing system
ad-hoc mreZa	ad-hoc network
ponovna ocjena	reappraisal
se zabavljaju	they have fun
tipologija	typology
holografska interferometrija	holographic interferometry
antiCki rim	ancient rome
brojanice	rosary
kraj tjedna	week-end
uzrokujuGi	causing
brojanica	bead
nadzorna tijela	supervisory authorities
stariti	olden
praktiCar	practitioner
gen adenomatozna polipoza kolona	adenomatous polyposis coli gene
pomoGu primjera	exemplification
izobrazba pravne struke	training of the legal professions
dvodno strojarnice	engine room double bottom
animirani filmovi	animation art
omjer signala i Suma u kanalu	signal-to-channel noise ratio
latinoameriCka organizacija	latin american organization
kraj broja	end of number
praktiCan	working
istraZivanje okoliSa	environmental research
impedanca	impedance
vremenska podjela (kanala)	time division
vlast titranje	autooscillation
obljubljenost	vogue
zraCni kist	airbrush
imajuGi na umu	bearing in mind
dopustivo mreZno prikljuCenje	permissive network connection
kruSna karta	bread-ticket
potraZivati	claim
lijeCnici bez granica	medicines sans frontiers
kondicija	trim
graniCna sklopka	limit switch
popis dijelova	parts list
ureDaj za upravljanje kretanjem	movement control device
uhobolja	ear-ache
vremenitost	temporality
fiksni troSkovi	overheads
funkcijski entitet	functional entity
ah	oh
najmanja koncentracija	minimal concentration
stjegonoSa	vexillary
skakutati	trip
procjena primjerenosti	assess adequacy
srCani zastoj	cardiac arrest
as	ace
kodno raspodijeljeni viSestruki pristup	code division multiple access
minijatura	thumbnail
mala pogrebna zastavica s likom lubanje	gumphion
ljeCenje	treatment
citogenetika	cytogenttics
Zeljeti uCiniti neSto	feel like
elektrokemijski ureDaji	electrochemical devices
prostor ispunjen nekom tvari	plenum
jelo	trencher
relativna adresa (adresa na kojoj treba dodati poC	relative address
pojasu	belt
porub	hem
biti podjednak	equal
glavno uporiSte	mainstay
glasno udarati	bang
fotokromizam i termokromizam	peptides
sastanak na najviSoj razini	general meeting
sluZba osiguravanja kvalitete	quality assurance services
pravo na povrat posjeda	right of repossession
prednji kutnjak	bicuspid
dovoljno podrobno	in sufficient detail
upravljaCka ploCa operatora	operator console
ublaZujuGe sredstvo	corrective
oh!	oh
bez srca	heartless
manekenka	mannequin
susjednih	neighbouring
slano	briny
stablo bora	pine tree
dvoosno naprezanje	biaxial stress-strain
budilica	alarm-clock
djeteSce	kiddy
slang	slang
Skola letenja	flying school
tvari	mass transfer
vodoopskrbnim	water supply
kriZanje vodiCa	twisting
dogled	spy glass
administrirati	run
validacija	validation
gimnastiCka sprava	apparatus
proteZe se	extends
faktor zamuGenja	fouling factor
cpu	cpu
jaja	eggs
globalno Citanje	global reading
kantina	canteen
hrvatski standardni jezik	croatian standard language
miljenCe	poppet
broj okteta u sekundi	bytes per second
vrtna salata	garden cress
oStra kritika	slam
asteroidi	asteroids
oStrovidno oko	lynx-eye
kabina dizalice	winch-house
febrilno	febrile
diklor-n	dichloro-n
nezavisni zastupnik	non-attached member
zavodnica	vamp
frakcionalan	fractional
kreCiti	whitewash
brod koji sijeCe plovnu rotu	crossing vessel
narezuckati	scollop
stope prijave Steta	rates of starting to claim benefit
tanati	tannin
barokni stil	baroque
legitiman	legitimate
ugao	quoin
zabitnost	obscurity
kruti otpad	solid waste
kolica u samoposluZivanju	trolley
prizvati	recall
drijemajuGi	napping
gospodarski i fiskalni instrumenti	economic and fiscal instruments
skulptura 20. stoljeGa	sculpture of 20th century
standard px64	px64 standard
novopridoSli	newcome
transmisivni gastroenteritis svinja	transmissible gastroenteritis
samostalnost osoba s invaliditetom	independence of the disabled
klauzula razumne prevencije	reasonable precautions clause
tradicijom	tradition
proizvodna kvota	production quota
jazavac	badger
napumpavanje	inflation
puZ balavac	slug
inklinacija	slant
udruZenja obrtnika	craftspeople associations
elektromagnetsko zraCenje	electromagnetic radioation
ne dodjeljivanje dijela memorije	memory leak
dijaspora	diaspora
industrija ugljenih nusproizvoda	coal by-products industry
ponovno sagraDen	rebuilt
tvoji	your
utrt put	trail
Citanje i pisanje slabovidnih	reading and writing of low vision children
nadprosjeCan	over average
dinosaur	dinosaur
gotovi smo	we're done
prodoran	trenchant
zaSto?	why?
arterija	artery
funkcija sliCnosti	similarity function
smeCer iz dubine terena	deep hitter
radni uvjeti	working conditions
koji sahne	withering
zemaljska sluZba	ground handling
protivparazitni	antiparastick
antibiotik	antibiotic
dubinsko skakanje	depth jumping
sisaCka posavina	sava river basin of sisak
rasprSenost	scatter
Zmigavac	tail lamp
biti protiv	be against
katarza	catharsis
optiCki multipleksor s dodavanjem i ispuStanjem	optical add - drop multiplexer
daljinski predajnika	teletransmitter
poslovni broj	reference number
lak za upotrebu	user-friendly
otimati se	scramble
izdanak Zile ili bilo kakvih taloZnih stijena	basset
propadanje	sinking
kruZni isjeCak	wedge pie wedge
potpisati ugovor	sign a contract
blokiran	blocked
inhibirane isplake	inhibitive mud
pomorski fakultet	the maritime faculty
analiza troSkova	cost analysis
mramor	marble
ulaganje zajednice	community investment
integrirati	merge
britanska i ameriCka jeziCna varijanta	british and american english
protokol za upravljanje ispitivanjem	test management protocol
diskriminativna analiza	discriminative analysis
svom snagom naprijed	full ahead
svetiSta	sanctuary
svetiSte	shrine
nitroamini	nitramine
automatsko praGenje	autotracking
uparaditi	dress up
prednji kraj kobilice broda	forefoot
pasti u dio	accrue
dobivanje zuba	teething
djelatnicima	employees
faktor nelinearnosti u video zaslonima (s katodnim	gamma factor
kontrolni aparat	telltale
kovanice	coins
balearski zovoj	balearic shearwater
kovanica	coin
podnijeti molbu za posao	apply for a job
nanoCestica	nanoparticle
opcije poCetnih parametara	startup options
fizikalne metode	physical methods
nanoCestice	nanoparticles
beZiCni aplikacijski protokol	wireless application protocol
skrama	film
niska livada kraj rijeke	haugh
radiotelekomunikacije	radio telecommunications
neumannova granica	neumann boundary
legla	nests
nezamijeGen	unperceived
leglo	source
leglu	brood
dati miSljenje	give an opinion
bok uz bok	abreast
dodatna znamenka	stuffing digit
spektakli	entertainment
analizirati sintaksu	parse
antimetastatski uCinak	antimetastatic effect
fizioloSko starenje	biological aging
difluorodeoksicitidin	difluorodeoxycytidine
koSara valuta	basket of currencies
